"","gene","color"
"242","FAGR_UCONN_25828","green"
"243","FAGR_UCONN_27732","green"
"244","FAGR_UCONN_11968","green"
"245","FAGR_UCONN_29912","green"
"246","FAGR_UCONN_21824","green"
"247","FAGR_UCONN_12670","green"
"248","FAGR_UCONN_13195","green"
"249","FAGR_UCONN_24157","green"
"250","FAGR_UCONN_12735","green"
"251","FAGR_UCONN_23552","green"
"252","FAGR_UCONN_24532","green"
"253","FAGR_UCONN_05393","green"
"254","FAGR_UCONN_10646","green"
"255","FAGR_UCONN_01423","green"
"256","FAGR_UCONN_16477","green"
"257","FAGR_UCONN_09637","green"
"258","FAGR_UCONN_18818","green"
"259","FAGR_UCONN_31827","green"
"260","FAGR_UCONN_27581","green"
"261","FAGR_UCONN_03866","green"
"262","FAGR_UCONN_01361","green"
"263","FAGR_UCONN_17036","green"
"264","FAGR_UCONN_31180","green"
"265","FAGR_UCONN_23715","green"
"266","FAGR_UCONN_13138","green"
"267","FAGR_UCONN_10234","green"
"268","FAGR_UCONN_15982","green"
"269","FAGR_UCONN_14107","green"
"270","FAGR_UCONN_31974","green"
"271","FAGR_UCONN_04466","green"
"272","FAGR_UCONN_29409","green"
"273","FAGR_UCONN_00716","green"
"274","FAGR_UCONN_06666","green"
"275","FAGR_UCONN_23313","green"
"276","FAGR_UCONN_32276","green"
"277","FAGR_UCONN_27775","green"
"278","FAGR_UCONN_27469","green"
"279","FAGR_UCONN_27928","green"
"280","FAGR_UCONN_12576","green"
"281","FAGR_UCONN_18506","green"
"282","FAGR_UCONN_03639","green"
"283","FAGR_UCONN_04227","green"
"284","FAGR_UCONN_30645","green"
"285","FAGR_UCONN_08598","green"
"286","FAGR_UCONN_08596","green"
"287","FAGR_UCONN_11358","green"
"288","FAGR_UCONN_22537","green"
"289","FAGR_UCONN_19566","green"
"290","FAGR_UCONN_16475","green"
"291","FAGR_UCONN_25814","green"
"292","FAGR_UCONN_18766","green"
"293","FAGR_UCONN_00336","green"
"294","FAGR_UCONN_04346","green"
"295","FAGR_UCONN_05938","green"
"296","FAGR_UCONN_23241","green"
"297","FAGR_UCONN_18901","green"
"298","FAGR_UCONN_32084","green"
"299","FAGR_UCONN_22627","green"
"300","FAGR_UCONN_28486","green"
"301","FAGR_UCONN_14452","green"
"302","FAGR_UCONN_20628","green"
"303","FAGR_UCONN_02828","green"
"304","FAGR_UCONN_10937","green"
"305","FAGR_UCONN_18117","green"
"306","FAGR_UCONN_28535","green"
"307","FAGR_UCONN_28533","green"
"308","FAGR_UCONN_26566","green"
"309","FAGR_UCONN_00051","green"
"310","FAGR_UCONN_26851","green"
"311","FAGR_UCONN_21226","green"
"312","FAGR_UCONN_14108","green"
"313","FAGR_UCONN_16842","green"
"314","FAGR_UCONN_29449","green"
"315","FAGR_UCONN_25941","green"
"316","FAGR_UCONN_31054","green"
"317","FAGR_UCONN_21229","green"
"318","FAGR_UCONN_22408","green"
"319","FAGR_UCONN_11337","green"
"320","FAGR_UCONN_24711","green"
"321","FAGR_UCONN_12672","green"
"322","FAGR_UCONN_23242","green"
"323","FAGR_UCONN_30544","green"
"324","FAGR_UCONN_00644","green"
"325","FAGR_UCONN_21683","green"
"326","FAGR_UCONN_30945","green"
"327","FAGR_UCONN_28853","green"
"328","FAGR_UCONN_08767","green"
"329","FAGR_UCONN_29323","green"
"330","FAGR_UCONN_14349","green"
"331","FAGR_UCONN_16053","green"
"332","FAGR_UCONN_01684","green"
"333","FAGR_UCONN_09192","green"
"334","FAGR_UCONN_29702","green"
"335","FAGR_UCONN_16172","green"
"336","FAGR_UCONN_19716","green"
"337","FAGR_UCONN_25840","green"
"338","FAGR_UCONN_24846","green"
"339","FAGR_UCONN_10739","green"
"340","FAGR_UCONN_29444","green"
"341","FAGR_UCONN_24765","green"
"342","FAGR_UCONN_18667","green"
"343","FAGR_UCONN_18861","green"
"344","FAGR_UCONN_14529","green"
"345","FAGR_UCONN_13608","green"
"346","FAGR_UCONN_15470","green"
"347","FAGR_UCONN_25807","green"
"348","FAGR_UCONN_25318","green"
"349","FAGR_UCONN_11372","green"
"350","FAGR_UCONN_14120","green"
"351","FAGR_UCONN_21431","green"
"352","FAGR_UCONN_13323","green"
"353","FAGR_UCONN_23658","green"
"354","FAGR_UCONN_28967","green"
"355","FAGR_UCONN_27961","green"
"356","FAGR_UCONN_02348","green"
