"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_22742",0.951509674268269,5.42347683807558,25.8399079562935,3.70939074667459e-07,9.58671148652276e-06
"FAGR_UCONN_26474",0.838896557023863,5.90401511233061,25.838513736398,3.71207107739861e-07,9.58671148652276e-06
"FAGR_UCONN_17853",1.06578394230854,5.45418188132952,25.8352366075487,3.71837887113722e-07,9.59155608213966e-06
"FAGR_UCONN_32888",-1.65055962794961,4.87700984572828,25.8256946867628,3.73680634707985e-07,9.62761463851215e-06
"FAGR_UCONN_26566",1.44277900948464,6.99136815544968,25.8189197482481,3.7499457418004e-07,9.64997927991015e-06
"FAGR_UCONN_11321",-1.53456500690491,2.91650206727053,25.808194087101,3.7708419800747e-07,9.68710041229105e-06
"FAGR_UCONN_11451",0.731384864584397,5.35091706004826,25.8062856160971,3.77457236751429e-07,9.68710041229105e-06
"FAGR_UCONN_12867",-0.845856972329597,7.24259339526175,25.8046363552385,3.77779907031404e-07,9.68710041229105e-06
"FAGR_UCONN_29487",2.36642361140834,5.84058399414791,25.7630173018699,3.86014652844844e-07,9.88654333357174e-06
"FAGR_UCONN_20490",1.52014130718225,5.47194265878287,25.7485364250082,3.88921838329228e-07,9.94922745286188e-06
"FAGR_UCONN_29798",1.31495153690921,3.23438130223663,25.7344940755263,3.91761945578191e-07,1.00100496177133e-05
"FAGR_UCONN_25694",1.05917909310355,4.82389290911008,25.7311995346595,3.92431281934537e-07,1.0015327598617e-05
"FAGR_UCONN_09260",1.05869499762056,6.03008066495772,25.7227990683212,3.94143158014454e-07,1.00471686993508e-05
"FAGR_UCONN_18726",1.09800691886048,4.7184906034088,25.6779146885951,4.03417518949164e-07,1.02694214849143e-05
"FAGR_UCONN_17033",0.772804484835931,7.51134136384225,25.6760333332684,4.03811001000928e-07,1.02694214849143e-05
"FAGR_UCONN_14990",-0.842246993437515,5.01132179964261,25.6281097767401,4.13964893696538e-07,1.05152913490381e-05
"FAGR_UCONN_14501",1.3143350159217,6.35834110774925,25.6171728807743,4.16317812354731e-07,1.05626613071291e-05
"FAGR_UCONN_31964",0.744930813522439,4.91777844445203,25.6068969946836,4.18540738837093e-07,1.06066260771808e-05
"FAGR_UCONN_23958",-0.846287762677824,8.04181868880378,25.5947275446455,4.21188684813069e-07,1.06612462183911e-05
