Gene_ID,S191Fg02,S191Fg04,S191Fg06,S191Fg07,S191Fg08,S191Fg10,S191Fg20,S191Fg23,S191Fg25,S191Fg27,S191Fg29,S191Fg42,S201Fg02,S201Fg04,S201Fg06,S201Fg07,S201Fg08,S201Fg10,S201Fg20,S201Fg23,S201Fg25,S201Fg27,S201Fg29,S201Fg42
FAGR_UCONN_29596,5.859428189,5.693569075,5.646566553,5.80602055,5.739713525,5.469846628,5.47580084,5.675247242,5.578429549,5.714900519,6.16364423,5.664317364,6.376926795,6.286574607,6.480710131,6.680310297,6.574385862,6.092450559,6.480692458,6.681537406,6.177883401,6.587374428,6.598792496,6.069351654
FAGR_UCONN_29599,6.680592082,6.606011,6.364057167,6.450338084,6.22809283,6.597847431,6.734188144,7.035745749,7.00926817,6.294742388,7.05487873,6.85692267,6.366906618,6.350079893,6.208188834,5.75692102,6.399483781,6.052258274,6.218069066,6.249934406,6.192113466,6.040948955,6.216786275,6.411903551
FAGR_UCONN_29610,-0.019897817,0.227885798,0.747767443,1.075321544,0.672524338,1.26348034,0.176931302,-0.54079051,0.905155916,-1.857971539,-0.271032802,-0.34291172,2.384829574,3.34872858,4.651216607,4.813237015,2.017125872,3.679563945,2.149766851,1.466775098,3.190094405,3.249089926,2.890262773,3.360913427
FAGR_UCONN_29611,3.353606358,3.4020782,3.336163786,3.237640626,3.435605631,3.225720439,2.763897403,3.382244489,2.340993126,3.219300479,3.559959916,3.066037448,4.375315441,4.606733041,4.236555266,4.484129419,3.954991465,4.293459367,4.496377227,4.283204335,3.810499905,4.465743803,4.052392311,4.815539742
FAGR_UCONN_29621,6.357135188,6.510077427,6.910018364,6.76651038,6.185184983,7.06970596,6.276338484,6.389162551,6.123920135,6.428477415,6.809135455,6.690771255,6.942859961,6.86207773,7.285857863,7.174657995,6.60050258,6.951575243,6.836386589,7.046020099,6.512480064,7.305245667,6.905995123,7.250262068
FAGR_UCONN_29622,-0.019897817,1.04709935,-0.032789949,-0.639063963,0.207302582,-0.594649439,1.270466762,0.942597069,-0.566859729,1.758090087,0.951923761,1.217976408,-0.982919135,-1.31714749,-0.91031163,-1.395442674,-0.491909425,-1.347267881,-0.803070878,-0.963440649,-0.655894535,-1.041929836,-0.699518405,-1.857971539
FAGR_UCONN_29635,3.707498305,3.307405214,3.766328407,3.371303296,3.750158274,3.545095717,2.489849692,2.689034765,1.951905028,3.729797763,3.002870713,3.629107005,4.023893517,4.364642274,5.007802987,4.672865977,4.046496073,4.369030476,4.130698575,4.211202338,3.190094405,4.651841727,3.851893034,4.477131047
FAGR_UCONN_29649,6.293225511,5.918426028,5.938301075,6.235732864,5.508651832,5.809985595,5.813858289,6.025925128,5.790989035,5.651467044,6.002960036,5.984675073,6.275592313,6.838547302,6.533535702,6.700699084,6.476716005,6.44847975,6.357965046,6.40522907,5.577714039,6.431278539,6.165330673,6.920544985
FAGR_UCONN_29653,2.255594049,3.206080513,2.866414651,2.926222455,3.702268221,3.367474796,3.549214589,3.401100803,3.413540383,3.34491601,3.57118771,4.162594519,2.14323123,2.260796551,2.250802029,2.047411923,2.99362748,2.822083041,3.396635451,2.930148495,1.99409071,2.437306156,2.331893725,3.297125713
FAGR_UCONN_29660,2.255594049,-1.857971539,-1.857971539,-1.123444452,1.541938444,-1.092233709,-0.125284039,-0.40357519,0.103404145,-0.84092533,-1.857971539,-1.857971539,-1.355093751,-1.31714749,-1.857971539,-1.857971539,-0.224053553,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.005658719
FAGR_UCONN_29673,4.934889833,4.908959185,4.366261062,4.487674784,5.181940323,4.851255943,5.218698648,5.117164342,4.898121235,4.384922432,4.784001272,4.666330901,3.982492767,3.950186757,3.979690946,4.101537221,4.737642332,4.080167904,4.36726285,4.135417233,3.917145888,4.136312549,4.228396708,3.668785928
FAGR_UCONN_29677,-0.963878562,0.480193629,-1.857971539,1.505750097,0.672524338,0.312337041,-0.745784036,-0.40357519,-0.566859729,0.167522835,-0.633885035,-0.009433924,1.001115487,1.716769153,4.256031248,1.361586074,0.36890909,2.616934712,1.40815551,1.037823495,-1.338360333,1.247319194,0.373626423,2.132962289
FAGR_UCONN_29687,-0.41601951,-1.000931485,-1.857971539,-1.857971539,-1.857971539,-0.594649439,-0.125284039,-0.54079051,-1.857971539,-1.857971539,-1.857971539,-1.402089266,2.352695426,-0.924696164,1.04914824,1.628071823,1.012026359,0.750113608,-0.470408975,-1.857971539,0.963731343,-0.321211248,-0.455846325,1.320572416
FAGR_UCONN_29691,4.191692436,4.111505638,4.506469821,4.578938251,4.227109582,4.388543099,3.757275395,3.518002498,3.872613164,4.404293795,3.788788783,4.289026052,5.096527461,5.201078071,5.013535859,6.225443361,4.745466011,5.481685452,4.724382933,4.487513482,6.084345942,5.679776829,4.969073525,5.517984838
FAGR_UCONN_29694,5.063057168,5.795916878,6.248982532,6.024693505,5.58985435,5.795005659,6.094329249,6.036516295,6.056291066,6.008664902,5.517113472,6.16037801,4.548437711,4.788005403,4.598790987,4.88626195,5.008628438,4.553107143,5.309734686,5.162739512,6.247670344,5.510822003,5.243859337,5.363057624
FAGR_UCONN_29698,5.956150286,6.888126333,7.061690482,6.8375344,6.782786243,6.430232417,7.401407787,6.922028512,7.657370922,6.837617201,7.105953129,7.375436593,5.861552737,5.346077645,5.639573039,5.427075377,5.872712375,5.492990292,6.043764895,5.582150697,6.00596283,5.670891927,5.970547878,5.347396568
FAGR_UCONN_29701,2.929234941,2.805347325,2.16538109,2.384173869,2.352903691,2.555279991,3.158469376,3.156720154,2.899530918,3.34491601,2.952240994,2.729424906,1.230623348,1.66062335,1.217549656,1.106092778,1.793884783,1.253962632,1.942245205,1.466775098,2.118515032,1.30970329,1.78592427,1.037940416
FAGR_UCONN_29707,7.833458552,7.364386062,7.567767496,7.47800854,7.778093211,7.38188065,7.469947434,7.82061815,7.716071626,7.380436184,7.89094273,7.841083969,6.933385412,7.089086493,6.644839868,6.732167562,7.437528544,6.941983315,7.088793945,7.232616926,6.928317575,6.762078018,7.261753695,6.711646187
FAGR_UCONN_29712,4.718377093,4.598359106,5.280488515,4.886409113,4.584949436,4.851255943,5.014526963,5.247907494,5.009594582,4.903526216,5.618004361,4.831269929,6.198588993,6.198125799,5.852852109,6.512518805,5.96606698,6.229423753,6.650389069,6.328607232,5.641324884,6.632310748,6.492063407,5.817009501
FAGR_UCONN_29723,4.744102311,4.624774953,4.860173032,4.921704792,4.387118477,4.698639193,5.019287043,5.091273946,5.225097267,5.008517957,4.548679022,4.867186405,4.422518511,4.236071939,4.39427897,4.243299505,4.290615618,3.865010303,4.428292767,4.479873216,5.152168411,4.195333742,4.345593742,4.11040853
FAGR_UCONN_29730,8.462107345,7.765525958,7.594201567,7.891375514,8.176702785,8.479250931,7.936729922,8.09411789,7.976048162,7.860629735,7.6534428,7.437330999,8.950195881,8.873856357,8.401237218,8.823670051,8.955013372,8.865378248,8.773308341,8.768386154,9.443984338,8.992919096,9.304440355,8.688738886
FAGR_UCONN_29734,-1.857971539,-0.078100505,0.747767443,1.195551983,-0.483590019,0.068391273,0.639494431,0.136092184,0.559272641,0.491134643,0.807489322,-0.34291172,-0.442132083,-1.31714749,0.062788586,0.150529941,-1.248323652,-1.857971539,-1.236177454,-1.857971539,-1.857971539,-1.041929836,-1.361533175,-0.715173011
FAGR_UCONN_29735,4.946016223,4.773853165,4.036867308,4.390245867,4.782116919,4.65505917,5.120221619,4.834624068,5.044917127,4.970035866,4.615278348,5.143093228,4.064139265,4.466402818,3.818748585,4.251220074,4.76868566,3.987294578,4.292636564,4.125657933,4.148798937,4.170334013,4.554792069,4.209026388
FAGR_UCONN_29745,4.781849974,6.325120983,7.069248104,6.280604304,6.349652817,5.379010964,5.937199754,4.258343159,5.94850412,5.91047416,4.604389779,5.056856971,7.207153431,8.189721627,6.939490613,8.688741963,6.598344154,7.394893086,7.401919244,6.71446474,9.047270991,8.095149229,7.499819811,7.83575669
