sample,ME_violet,ME_lightgreen,ME_steelblue,ME_darkgrey,ME_orange,ME_greenyellow,ME_royalblue,ME_midnightblue,ME_salmon,ME_red,ME_green,ME_yellow,ME_blue,ME_brown,ME_turquoise,ME_pink,ME_tan,ME_lightyellow,ME_magenta,ME_black,ME_darkolivegreen,ME_darkgreen,ME_grey60,ME_darkmagenta,ME_darkturquoise,ME_white,ME_darkorange,ME_darkred,ME_saddlebrown,ME_purple,ME_skyblue
H183Fg36,-0.03871715041312607,-0.05148569922870535,-0.04497903854247177,-0.03588281402826782,-0.048245761250067784,-0.03874642440783006,-0.028052554933357534,0.9747099974733755,-0.03497593840434303,-0.03508967313874127,-0.044338386369948565,-0.03163454589052307,-0.03805166522355562,-0.04104652413020395,-0.04327739898133222,-0.04603704769177339,-0.043816387246967785,-0.044597814325548706,-0.02289549168608327,-0.033089667727894276,-0.042725340927273245,-0.0528531918054335,-0.03736931040015091,-0.06365678277399048,-0.04045845147392343,-0.036188365907832906,-0.038531015440486455,-0.05500912310828136,-0.050090609520442836,-0.044183317121063104,-0.04151302896954318
H183Fg37,-0.00527015067513701,-0.014358872324266074,-0.030036462425030646,-0.010457681716754066,0.015688976019975546,-0.02404400505048072,-0.01791367209679184,-0.00466308535232526,-0.0057202862889535475,-0.016760396607483186,-0.003207603545012597,-0.005943937830707555,-0.013245308632482324,-0.012675408833286628,-0.007612061339119681,0.8933969288851902,0.008151684278102873,0.016169803804723406,5.991280958722265e-4,-0.016210073636353548,-0.019615813487463094,0.00928660145042971,-0.011457328282103716,-0.018921086605094634,-0.02201976776409913,-0.027578379098315862,-0.0247139331047176,-0.016085435978015598,-0.012978427174202114,-0.02702998748381592,-0.02035490239637802
H183Fg38,-0.029245364086155443,-0.026047259516754993,-0.014316914327779396,-0.028669240269616023,-0.01949869434383641,-0.0320516175650039,-6.728244609596194e-5,-0.007163629024222124,-0.011312068530118269,-0.01374647289206639,-0.012901543561110023,-0.020324103973854243,-0.016393613295122903,-0.016917525543120853,-0.012214997710087933,-0.011030133732336113,-0.011844755506821108,0.01371788290208313,0.9806851599134903,-0.016620817889330865,-0.007169704198224635,-0.022288258233360895,-0.024272463464219716,-0.010603082294707975,-0.020762769912537973,-0.02278902446788231,-0.02009877910374501,-0.02553089829418942,-0.026724568561552312,-0.03445336141177749,-0.015716603564196935
H183Fg40,-0.042692378945491494,-0.02243909176328904,-0.03167851777603716,-0.028068939140869175,-0.03348849993401088,-0.04539859618709505,-0.03444483292378998,-0.046144845583781326,-0.009540130926980457,-0.03069222992687053,-0.022834872790637978,-0.01506170393426496,-0.033094025634236954,-0.027345508698800924,-0.03742999205226057,-0.025004520551590845,-0.03503695075158498,0.9749036861516356,-0.003082613830751578,-0.031264170266126934,-0.028630951794100374,-0.04442121479372045,-0.04458090015327048,-0.040104638402626173,-0.03543999856562282,-0.04030311827666922,-0.05315020535816572,-0.04265248091444818,-0.039104796092488354,-0.037298158620224175,-0.04156134723632212
H183Fg42,-0.034020259058559696,-0.044553344876336554,-0.04137421196404948,-0.026732727520707825,-0.039041166461205756,-0.03427802289824632,0.982118906619446,-0.032203595830318496,-0.019384450555939486,-0.025369103512544285,-0.009131140310024164,-0.019386585662205927,-0.028755383724967606,-0.013113648295631882,-0.029592583048048956,-0.03949388439527362,-0.029286490921092985,-0.02205249731531985,-0.029974924321896957,-0.031874302314286014,-0.042725340927273245,-0.04572879906143948,-0.03752403001026104,-0.04655771946351323,-0.04160902790747532,-0.037070789299241326,-0.04503062335831792,-0.026267240943430387,-0.03023684321874295,-0.046044948138818896,-0.037591101991238156
H183Fg43,-0.015397407290773843,-0.0019005644979309844,-0.014647691799565979,-0.00418631196384485,3.757186099391378e-4,-0.01209922412430038,-0.009358251413516502,0.0037788956486852995,0.024117898959151663,0.0069949219815513275,0.02035792470992762,0.013796343656588137,0.01653084115647972,0.9711094829065793,0.012925295972652077,-0.011679388456480238,-0.004344564582988875,0.0035176061624134767,-0.006567110031681164,-0.017623424243104535,-0.004284826164346282,0.009090146776152892,-0.011573711836359683,8.370200349405272e-4,-0.020920727150587133,-0.012008857484810452,-0.006023388705364999,-0.021934101044373856,-0.031846185907746884,-0.015587929455303884,-0.028548505261018393
H183Fg45,-0.03117470403457121,-0.03847921540692856,-0.044256409002318003,0.9828719590574703,-0.025072631312143233,-0.039928916201851336,-0.022208995560833715,-0.032559333409796734,-0.032873937478588654,-0.02443121343684088,-0.031345239363473054,-0.028069030376024557,-0.025816988436074464,-0.03199898152844693,-0.02822538757605818,-0.03406238551148458,-0.02851107363654634,-0.032994810022138506,-0.03518076541993845,-0.018482811772753478,-0.025128351984621447,-0.04060048181309671,-0.03606178446141281,-0.0293472813766038,-0.042918148300981465,-0.029914951639112036,-0.04646860333027457,-0.03423990566900797,-0.034135229987738984,-0.04230540390519311,-0.035233193296300064
H183Fg46,-0.009704665755633248,-0.013848918614444703,-0.0034402390980444388,-0.011675817703979012,-0.003492960894153135,-1.7630980811221723e-4,-0.014922969691742827,-0.007011356934730905,-0.022800945843847707,-0.002172751041320973,-0.015441447399292986,-0.008195429031826955,-7.860257915860974e-4,-0.009860320173049794,0.019063123538864347,-0.03562591029885805,-0.00433424647569874,-0.02643837479104471,-0.018515466439915158,0.9836395999004269,0.04989505943470673,0.012662561212542134,-0.01588566181181845,-0.04228226496340727,-0.013637263845483198,-0.021384301718079764,-0.0326864755021476,-0.015494562720217006,-0.009655665338900672,-0.01832179267633476,-0.01111472909582864
S183Fg02,-0.014131247918532243,-0.02368214251950267,-0.021618190481369103,-0.030558213034440233,-0.044311417502526054,-0.03328593359144957,-0.03417883555036999,-0.04682779193088639,-0.04665925158478606,-0.032914863846653514,-0.043446534963512765,-0.04227934617875858,-0.04223371848787407,-0.042772662901436866,-0.04114539414242247,-0.05034199490900332,-0.0342769377218256,-0.043447529999644914,-0.0315167817278351,-0.030719190139425458,-0.008653259119987291,-0.019583732919237127,-0.018343916844945688,-0.0264564018438424,-0.020159594598308465,-0.026246829055342393,-0.01057934114394914,-0.00884074477811949,-0.012601176924205279,0.03241449265949027,0.9835990818285484
S183Fg03,-0.008742926652127616,0.0072368673190384555,0.0022464282689627826,-0.02545657051905874,-0.013864205609951993,0.0019139348981886278,-0.029725269191627435,-0.020884884642513698,-0.016680745361850602,-0.02279082229293324,-0.02381569215761164,-0.0215580440707443,-0.013960769781247913,-0.026263788930905606,-0.015231917517353503,-0.0369415156112472,-0.026125214270290468,-0.0386724037603153,-0.01912247506683822,-0.02041534189286613,-0.026003817488867514,-0.010232434982265226,-2.842618957147739e-4,0.03134502362423718,-0.019585930457222255,-0.03467587187642105,-0.004810778071012963,-0.013189880135061038,0.00864776783344535,0.9791942908050295,7.437172134426637e-4
