sample,ME_skyblue,ME_yellowgreen,ME_darkorange,ME_sienna3,ME_orange,ME_steelblue,ME_darkolivegreen,ME_darkturquoise,ME_lightgreen,ME_darkgrey,ME_grey60,ME_green,ME_red,ME_turquoise,ME_greenyellow,ME_lightcyan,ME_royalblue,ME_darkgreen,ME_black,ME_lightyellow,ME_salmon,ME_cyan,ME_blue,ME_brown,ME_pink,ME_yellow,ME_magenta,ME_midnightblue,ME_purple,ME_tan,ME_paleturquoise,ME_darkmagenta,ME_darkred,ME_saddlebrown,ME_white
H172Fg32,-0.013357828661425226,-0.03656515548835787,-0.01698434316782591,-0.03704201020768734,-0.0243685772406809,-0.019058277912246617,-0.03292218075031445,-0.03696880946081066,-0.03548274256536848,-0.03221599905038745,-0.040728519012780996,-0.037969020599589065,-0.03708705662365802,-0.03647211801333143,-0.03507817617107763,-0.022804950419156512,-0.029326036269413533,7.478123782813075e-4,-0.010844463438443638,0.9786043116181777,-0.027027820270431296,-0.03190468352221332,-0.026156972579340465,-0.019488681256820854,-0.004570291652349693,-0.011813537810988213,-0.02353243042619884,-0.023644575912960777,-0.01977533115728573,-0.028659537522792735,-0.035490078870036273,-0.03554423920836036,-0.042797560731667635,-0.034614277187150315,-0.04354050385282506
H172Fg36,-0.0014499832337859944,-0.04683043790226841,-0.03113940379691027,-0.011294314172726904,-0.012508052208010375,-0.02955737653634514,-0.019383718626628688,-0.025898532360757228,0.008090085087629624,-0.02419821998081141,-0.015759375586026074,-0.025849134911624758,-0.02093286688582669,-0.017832125739204945,-0.013151566162326222,-0.008014200405392158,-0.011745985984170971,-0.002194626305605001,0.01758110939934213,-0.014976313892967977,0.008880288093667445,0.00825292771818986,0.012517260982572677,0.9716107731663077,0.0024351052205870893,0.004133261896049614,0.0037116343805748808,0.011057504735075477,-0.012840682064141521,-0.019003860949431302,-0.04510242257456711,-0.02860148280272764,-0.029624916905670137,-0.01691783518973207,-0.008237604605141018
H172Fg37,-0.0360073552271043,-0.04883310430476467,-0.039053889549333434,-0.033105127195711403,-0.046795795589557806,-0.03676821000468816,-0.03052780759745709,-0.04199593296902653,-0.04041715990701648,-0.04414716679123866,-0.04125677343063076,-0.0583571195687542,-0.05342413582953474,-0.04845732992569611,-0.04997143319646959,-0.04052094025393052,-0.052710770071357195,-0.05044820880199698,-0.05277353514552849,-0.04969692861495982,-0.03305583303839391,-0.05281903109709016,-0.048022748674332254,-0.04685558964644168,-0.051816768800537136,-0.05212978537902873,-0.053558488737689036,-0.049515429801543234,-0.032166828352138355,-0.03423073328054352,-0.034508409005469934,-0.02618325496048623,-0.035660825738566326,0.9843063730545659,-0.03051057072894383
H172Fg40,-0.036748988034020595,-0.049333770905388735,-0.03989189015570491,-0.03295890650503882,-0.039784610916318394,-0.023156505263204438,-0.04995789565819699,-0.04344107923922808,-0.04842900722286299,-0.04984987596186937,-0.05873572765784614,-0.06370325086921876,-0.05910488149268785,-0.060619528923741915,-0.05581964469011785,-0.05612448375550583,-0.05798897413103058,0.9713449996013194,-0.04093851146788285,-0.04197089271743182,-0.05269339557200146,-0.04777461819883888,-0.05465464032369643,-0.05625989676012376,-0.04548502471250377,-0.045937758218684184,-0.05771399451963775,-0.04497378688609428,-0.046113134802285696,-0.04704986580996147,-0.04099829460172348,-0.0328272611299297,-0.04693384627903405,-0.04081719070274191,-0.04452907088220474
H172Fg42,0.9807675670663791,-0.049333770905388735,-0.04208032023456891,-0.026611819491646198,-0.042428568401022916,-0.043425472158939105,-0.04995789565819699,-0.03944812112533845,-0.0524965872783189,-0.05022694477163253,-0.045373737471497436,-0.06562920935784955,-0.0690026150303406,-0.06236572248149373,-0.05687043635031158,-0.056381192066976955,-0.059218785096642,-0.04749692507425923,-0.05479880343063837,-0.038963321116503954,-0.055939251210194225,-0.05693124742132539,-0.05834598397463754,-0.06194370763351514,-0.06365553627867072,-0.0570675307522218,-0.06157569641506301,-0.05102481977443779,-0.046313229326672214,-0.05272201846145965,-0.04373479280519202,-0.0402889628959746,-0.04523503841799148,-0.043066094983928924,-0.043090488695216
H172Fg43,-0.03768882280329852,-0.03315815495527452,-0.017694546583094283,0.9848303167288062,-0.0413035441790251,-0.02510716557641944,-0.04030675395520844,-0.03242766683117601,-0.03419696044541529,-0.033374149403504846,-0.050380184860427814,-0.056055875935745944,-0.058880212446471444,-0.04788600434038417,-0.04670381154386251,-0.046735063198837024,-0.052057254550911446,-0.046820643516202624,-0.049458310886530674,-0.037309368832698836,-0.0327334928794775,-0.05715905446344112,-0.046636006067711816,-0.045951746323518276,-0.046788871470346036,-0.047103927519327744,-0.04913300027721229,-0.04617898862501497,-0.036274718240066756,-0.036254240547030206,-0.03231459601429949,-0.0402889628959746,-0.03332151375499245,-0.036753363913215736,-0.034343200213553145
H172Fg45,0.002481006756605833,-0.013033848637149932,-0.026957809325503443,-0.03226462356114591,-0.0169630055176569,-0.011480120769243268,-0.0379710064565661,-0.03183726651771619,-0.024831783137084375,-0.011568809816927227,-0.014486956848941822,-0.00881809973000968,-0.01006142163897116,-0.009364917711624756,-0.0017806663622521636,-0.018390605818350045,-0.01410756085954493,-0.024346100561003305,-0.012004449005189474,0.003189053125215224,-0.01285222825312585,-6.320192618394154e-4,0.005683708857250833,0.0065944725362203725,0.0029395916545351904,0.01328887727194133,0.9717189724563329,0.035087417284407736,-0.019140936543107147,-0.014399160724675954,-0.01609083983028346,-0.015079353232351576,-0.02035839515761699,-0.029907224653135715,-0.01897939621055928
H172Fg46,-0.030916462310862355,-0.04883310430476467,-0.024905738946432377,-0.038061191341067474,-0.03315922434241187,-0.027281562632720503,-0.025635265317184262,-0.02409641499609079,-0.039298235378532435,-0.013577123411736681,-0.0356849050688781,-0.05034358563394244,-0.03585423528622225,-0.037953872266731456,-0.042658966236903406,-0.03575800059172846,-0.025461585243450723,-0.025828281612505683,-0.024886601372223975,-0.027646847807415165,-0.0227377601467113,0.9743904635442016,-0.034673970097725354,-0.020112002286969046,-0.013694088069630198,-0.020970033310272237,-0.016250931921192844,0.012361834642258259,-0.02664156544005986,-0.03087672115151337,-0.03969373791525436,-0.032848991637194076,-0.03218523372032734,-0.030990082966352556,-0.02668202898446034
S172Fg02,-0.042307273363530726,-0.04522712724009322,-0.03363056435943006,-0.014221583314754371,-0.03188802565084956,-0.04208326550142511,-0.04606606713238798,-0.03487824724588764,-0.033776670381314836,-0.03288391406917782,-0.03063233916382006,-0.04753749818684757,-0.04959153619223238,-0.04289584298686644,-0.047103732786639645,-0.043884326498898917,-0.04978369590972522,-0.05369666990112129,-0.050827659094416514,-0.055115771572479155,-0.04842683249222226,-0.05184352252613586,-0.052982346874916646,-0.05580349481624256,-0.04767467550888209,-0.056312294500334564,-0.05938802759839224,-0.051685823006876026,-0.046510074740719956,-0.048417837135468524,-0.032439914766991054,0.9837961261377823,0.0021819028134155614,-0.014163980835263079,-0.04325480719809276
S172Fg03,-0.028112367351930987,-0.011632367476024218,-0.028426412397202786,-0.025235271586493028,-0.005538229689042093,-0.027383922563820325,-0.021115249103141415,-0.0315004830648442,-0.007110279512498767,-0.0375824490329438,0.012426495126886117,-0.020643937095409938,-0.022291294763773742,-0.016510536105536083,-0.011101373582139902,-0.021142330640991847,-0.010648676436166515,-0.04094707442487404,-0.034306904953898903,-0.027119738548268567,-0.0247886716517797,-0.03361743371634901,-0.03212428028503483,-0.027313619912104695,-0.03433099043463136,-0.03496949230871456,-0.031246950341019736,-0.029361087527914786,-0.011937608551553127,-0.02860491770332759,-0.00588444947140646,-0.009091009912249521,0.9835059152475333,-0.025756968936825247,-0.018890030826634076
