sample,ME_saddlebrown,ME_lightyellow,ME_darkgrey,ME_magenta,ME_blue,ME_cyan,ME_orange,ME_brown,ME_darkred,ME_darkgreen,ME_darkturquoise,ME_darkorange,ME_lightgreen,ME_purple,ME_greenyellow,ME_lightcyan,ME_royalblue,ME_midnightblue,ME_red,ME_black,ME_pink,ME_grey60,ME_salmon,ME_turquoise,ME_grey,SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80,GROWTH_SIGNAL,Size.mature,DOY.fastGR,WD.class,Site,Year,Season,growth.signal,Average.SLA,Average.SPAD,Average.LA
H171Fg30,-0.004467823,0.05471088,0.085016466,0.039523141,0.071522452,0.045560833,0.055708832,0.074635326,0.06869684,0.074169602,0.075048639,0.104526817,0.048162277,0.060588008,-0.04012806,0.049743738,0.130061432,0.04385878,0.084954796,0.064453824,0.058035235,-0.002588828,0.090314794,0.126848632,-0.108309743,HF,2017,281050,1,HF28105012018,FAGR,40.29649947,40.4128472,192.8215708,0.097976065,3.19855967,40.29824928,40.4128472,0.995791392,0.047560546,-99,-1.936286281,0.002839708,0.114597912,181,0.002849239,40.29824928,-99,138,Inf,181,154,211,160,204,Inf,57,44,1,1,1,0,HF,2017,Spring,yes,294.09,37.27,16.40033333
H171Fg32,0.022463531,0.13468234,0.048092675,0.086613246,0.007451262,-0.029364768,0.125558969,0.082010597,0.227783016,0.017091726,-0.001197397,0.030424247,-0.097354583,0.002177997,-0.015308136,0.149607268,-0.028636171,0.037991338,0.131907038,-0.018933836,0.431711016,-0.080758257,0.035841791,0.022255209,-0.067269138,HF,2017,281525,1,HF28152512018,FAGR,37.89033437,37.90191167,122.0003369,0.007512754,0.972325081,37.89141293,37.90191167,0.308230195,0.003148853,-99,0.230605164,2.77E-04,0.010498748,126,2.17E-05,37.89141293,-99,-177,Inf,151,-118,531,-73,433,Inf,649,506,0,1,0,1,HF,2017,Spring,no,202.58,35.9,37.033
H171Fg36,0.012642438,0.065413066,0.068160602,0.023132713,-0.0361357,-0.07684922,-0.140699574,0.03580351,0.074169081,0.046391744,0.006757216,-0.143979721,-0.088556555,-0.068445346,-0.006246617,0.026378061,-0.01937804,0.06789043,0.023498127,0.055398548,0.218301953,-0.065904129,0.095796242,-0.006970615,0.073065131,HF,2017,241504,1,HF24150412018,FAGR,18.09836695,18.17868467,198.3283317,0.104867869,20.58479859,18.1,18.17868467,0.993839696,0.030243402,-99,-0.92690091,0.004337798,0.078684675,169,0.002103835,18.1,-99,133,Inf,170,145,198,150,191,Inf,53,41,1,0,0,0,HF,2017,Spring,yes,267.24,27.93,54.29366667
H171Fg37,-0.019517385,0.036322137,0.159498953,0.059059745,0.068774166,-0.00218757,-0.051361876,0.066540976,0.073774047,0.065104938,0.063830471,0.169288414,0.060589135,0.020565823,0.05366151,0.07035803,0.03837168,0.060496661,0.11984611,0.261016268,0.06404789,0.12962123,0.155291097,0.131452925,-0.07926177,HF,2017,220932,1,HF22093212018,FAGR,29.7998718,29.80987567,185.9900047,0.026841195,1.295025256,29.8,29.80987567,0.812502051,0.002638171,-99,-0.037905951,3.31E-04,0.009875665,176,6.71E-05,29.8,-99,15,Inf,177,75,287,99,259,Inf,212,160,1,1,1,1,HF,2017,Spring,yes,350.26,35.43,56.12566667
H171Fg38,0.012155153,0.13014786,0.064749817,0.117230422,0.020324348,-0.035273859,-0.024426554,0.080121978,0.061334315,0.053768017,0.010930682,0.126375161,0.026571751,0.018465942,-0.018031948,0.092749444,0.030920292,0.01062945,0.068654388,0.060501655,0.140702625,0.056460002,0.087416337,0.118505374,-0.117308358,HF,2017,211039,1,HF21103912018,FAGR,50.39849418,50.43923452,216.029544,0.083090924,11.53189569,50.39914431,50.43923452,0.972777863,0.01702573,-99,-2.066498659,7.95E-04,0.040090214,187,8.46E-04,50.39914431,-99,137,Inf,187,155,222,162,213,Inf,67,51,1,1,1,0,HF,2017,Spring,yes,101.68,27.17,12.82066667
H171Fg40,0.544173774,0.505768305,0.56971238,0.756556285,-0.444202836,-0.186956359,-0.37788673,-0.37426252,-0.346108568,-0.372880214,-0.218170882,-0.225830121,-0.416087829,-0.386936962,-0.262583547,-0.372325535,-0.140070419,-0.391687697,-0.314867385,-0.237130259,-0.280662849,-0.214501903,-0.42591101,-0.375093776,-0.275667687,HF,2017,31078,1,HF3107812018,FAGR,NA,NA,NA,NA,NA,NA,NA,-99,0.053308952,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,HF,2017,Spring,no,177.33,38.07,35.05533333
H171Fg42,0.083092402,0.086432242,0.028931559,0.034569579,-4.09E-04,0.03501492,0.057741671,0.06469013,0.079520994,0.115233532,-0.021976968,-0.118397097,-0.01742156,-0.053664542,0.089381046,0.008711833,-0.034291407,0.053600429,0.104098485,0.102249952,0.133580428,-0.026565316,0.092029713,0.041439767,0.037633258,HF,2017,331632,1,HF33163212018,FAGR,62.19847621,62.24962408,185.9971664,0.081717941,1.599482389,62.20099068,62.24962408,0.961923308,0.020755914,-99,-2.048043277,7.82E-04,0.048633394,180,0.001044671,62.20099068,-99,144,Inf,181,153,217,158,208,Inf,64,50,1,1,1,0,HF,2017,Spring,yes,254.79,34.7,30.36566667
H171Fg43,0.057867997,0.087698818,0.072660553,0.062168754,0.046891177,0.041149544,0.024869079,0.094533037,0.10669369,0.092310452,0.020643347,0.204078373,0.045453779,0.031423837,0.06780823,0.101166382,0.191650766,0.117191552,0.115691069,0.206181552,0.104297961,0.097742139,0.100115233,0.102524331,-0.147835803,HF,2017,321651,1,HF32165112018,FAGR,14.59891898,14.75914304,208.5236866,0.067919804,1.295434997,14.60128388,14.75914304,0.998178235,0.065595284,-99,-0.385001702,0.010753296,0.157859156,205,0.002720076,14.60128388,-99,143,Inf,205,165,248,174,237,Inf,83,63,1,0,1,1,HF,2017,Spring,yes,282.58,28.77,38.809
H171Fg45,0.028848536,0.046788889,0.431024774,-0.142419356,-0.185094877,-0.119909369,0.077357432,-0.192198096,0.254431792,-0.063849934,-0.154412908,-0.133857322,-0.204857952,-0.277783173,0.194255496,-0.128159,-0.114849836,0.284769861,-0.193512969,0.709446031,0.236976483,0.077633378,-0.028666158,-0.160196518,-0.193825985,HF,2017,351005,1,HF35100512018,FAGR,11.80001241,11.90262189,193.4606469,0.104264632,4.704387181,11.80026795,11.90262189,0.994875339,0.041944418,-99,-0.33004653,0.008636464,0.102353942,179,0.00267292,11.80026795,-99,121,Inf,179,151,207,158,200,Inf,56,42,1,0,1,1,HF,2017,Spring,yes,363.85,31.6,52.28
H171Fg46,-0.309185197,-0.080372694,-0.150992532,-0.154150272,-0.278854016,-0.090255873,0.469735484,-0.235501553,-0.154548146,-0.286160687,-0.048486409,-0.181202615,-0.395737696,-0.146384142,-0.123368037,-0.288912352,-0.173726565,0.40209863,0.500973713,-0.109886572,-0.26559452,-0.185705085,-0.225131705,-0.350802946,-0.268956699,HF,2017,341026,1,HF34102612018,FAGR,7.797176484,7.916117679,198.8861332,0.069020754,2.424468852,7.799985894,7.916117679,0.995636304,0.046546518,-99,-0.150385595,0.014778968,0.116131785,186,0.002052142,7.799985894,-99,132,Inf,187,149,229,157,218,Inf,80,61,1,0,1,1,HF,2017,Spring,yes,283.04,27.97,29.02066667
S171Fg02,0.019629503,-0.132980591,-0.039348186,-0.059958163,0.029017642,-0.035524473,0.003055833,-0.026689445,-0.134023689,0.093735528,-0.007292841,-0.160126771,0.131201654,0.052972277,-0.006743291,0.060061584,0.500866891,0.085511202,-0.081706511,0.063784941,-0.084464503,-0.05867248,-0.009603062,0.025211787,0.138468578,SERC,2017,130632,1,SERC13063212019,FAGR,21.99705408,22.00382586,117.0016205,0.007364558,0.97111304,21.99999752,22.00382586,0.323585247,0.001025976,-99,1.35372896,1.74E-04,0.00382834,121,1.25E-05,21.99999752,-99,85,Inf,247,101,601,116,503,Inf,500,387,0,0,1,1,SERC,2017,Spring,no,415.86,34,24.63333333
S171Fg03,0.079196263,0.025810501,0.058614557,0.042669883,0.108896957,0.013679366,-0.065857146,0.066540914,-8.51E-04,0.099493342,0.0576096,0.096123321,0.131687126,0.092894335,0.072480668,0.059415954,0.225392249,0.129784613,0.031631989,0.128302843,0.087987728,0.031289748,0.093639725,0.093424442,0.077479849,SERC,2017,140981,1,SERC14098112019,FAGR,9.792597056,10.31313763,202.8601408,0.05283154,0.847979008,9.800155604,10.31313763,0.9966714,0.201479641,-99,-0.295862349,0.051020317,0.512982022,206,0.006874838,9.800155604,-99,126,Inf,207,155,262,167,248,Inf,107,81,1,0,1,1,SERC,2017,Spring,yes,448.54,27.13,25.60666667
S171Fg04,-0.011131881,-0.043522933,0.026539895,-0.057806851,0.005672203,-0.091349432,-0.246456075,-0.006710927,-0.066372476,0.054710192,-0.089284315,-0.185417052,-0.076520193,-0.071640353,-0.008270163,-0.032660279,0.422068996,0.090875576,-0.070181988,0.047745021,-0.038846057,0.034508428,0.083451279,-0.090167231,0.315300655,SERC,2017,142546,1,SERC14254622019,FAGR,10.99459415,11.25670182,216.7133916,0.047531229,2.933198491,11.00078205,11.25670182,0.996619902,0.101703557,-99,-0.21316314,0.022997304,0.255919777,194,0.003114419,11.00078205,-99,116,Inf,195,140,257,152,241,Inf,117,89,1,0,1,1,SERC,2017,Spring,yes,457.39,36.37,28.55333333
S171Fg05,0.073677405,0.060655582,0.115853443,0.072513874,0.114803455,0.021249478,-0.050495178,0.070299347,0.03759643,0.106435609,0.010681627,-0.067782554,0.0391014,0.085109379,0.081304315,0.078336411,0.004172809,0.068280572,0.057929888,0.049618266,0.129162522,0.331360642,0.095690866,0.110711398,-0.090413778,SERC,2017,150147,1,SERC15014712019,FAGR,27.48300871,27.83203536,174.729524,0.058501177,1.97702721,27.50067973,27.83203536,0.997208341,0.126572475,-99,-1.082070688,0.011976986,0.331355627,163,0.005104227,27.50067973,-99,113,Inf,165,125,214,133,202,Inf,89,69,1,1,0,0,SERC,2017,Spring,yes,305.73,34.93,36.22
S171Fg06,0.395347224,-0.351466731,-0.166636665,-0.295433307,-0.298313264,-0.139674429,-0.221480026,-0.168342922,-0.295288052,-0.355137744,0.02641203,-0.256476869,0.098660602,-0.275361761,0.744431452,0.34885617,-0.168313383,-0.325290952,-0.269325367,-0.191942194,-0.278039888,-0.205984938,0.218894957,-0.37485271,0.450554803,SERC,2017,160234,1,SERC16023412019,FAGR,7.295038288,7.528728192,194.5629125,0.056182934,1.812092621,7.300951336,7.528728192,0.998204684,0.091969097,-99,-0.168153201,0.030721469,0.227776856,184,0.003282129,7.300951336,-99,119,Inf,185,139,237,149,224,Inf,98,75,1,0,1,1,SERC,2017,Spring,yes,340.09,36.7,45.95
S171Fg07,0.067548904,0.102763216,0.17876126,0.126905852,0.122183847,-0.005079244,-0.09794403,0.098948242,0.087175291,0.078289246,-0.003229641,0.127125475,0.026954931,0.102972595,0.121511296,0.052801656,0.011395298,0.086401724,0.108657453,0.100928547,0.228563866,0.615417759,0.19356131,0.107716465,-0.110992944,SERC,2017,43245,1,SERC4324522019,FAGR,20.6823825,21.16290289,181.989105,0.051732153,1.559125303,20.69982458,21.16290289,0.998968577,0.190712627,-99,-1.092106445,0.022124559,0.463078307,173,0.006213564,20.69982458,-99,110,Inf,175,127,231,137,217,Inf,104,80,1,0,1,0,SERC,2017,Spring,yes,416.17,29.6,30.78333333
S171Fg08,0.020808244,0.026579131,0.050289243,0.029477803,0.097819613,-0.010867875,-0.07738517,0.048519077,0.009970657,0.132542647,0.037437472,-0.082984127,0.03866827,0.056868851,0.051302702,0.110523191,0.376163698,0.092852366,0.026687567,0.074720213,0.049439028,0.121568995,0.137316758,0.061694792,0.028453675,SERC,2017,43247,1,SERC4324722019,FAGR,6.689741786,6.710546755,116.9965831,0,1.018453534,6.689741786,6.710546755,0,0.002570578,-99,NA,0.003105155,0.020804968,365,NA,6.689741786,-99,#NAME?,Inf,#NAME?,#NAME?,Inf,#NAME?,Inf,Inf,Inf,Inf,0,0,0,NA,SERC,2017,Spring,no,352.67,35.17,68.15
S171Fg10,0.169781228,-0.038325892,-0.074706301,-0.02997332,0.013655453,-0.038209139,-9.92E-04,0.024368384,-0.092724782,0.086783776,-0.064363194,0.033512015,0.020974643,0.00686261,0.185701631,0.114246052,0.019894204,0.067088664,-0.053627218,-0.036335182,-6.48E-04,-0.059989314,0.050028836,0.072676222,0.084129301,SERC,2017,43420,1,SERC4342012019,FAGR,86.59428417,86.7434758,198.1579082,0.063931566,8.074818181,86.59967124,86.7434758,0.985649516,0.060629014,-99,3.434251765,0.00165919,0.143804559,165,0.002383735,86.59967124,-99,114,Inf,167,128,212,136,200,Inf,84,64,1,1,0,1,SERC,2017,Spring,yes,242.2,36.47,33.67
S171Fg18,0.037895314,0.033134823,0.042261189,0.052815206,0.105794142,0.021429707,-0.049479244,0.060678512,0.045304073,0.060184597,0.052666598,-0.031256759,0.089521633,0.104844004,0.065092721,0.074236087,0.046537347,0.076965137,0.066728707,0.045046906,0.048631363,0.212324195,0.110446972,0.123039279,0.071843933,SERC,2017,80469,1,SERC8046922019,FAGR,5.400024962,5.44244985,173.9201751,0.117376048,0.469467503,5.400025055,5.44244985,0.975761264,0.019954388,-99,-0.347895697,0.007825706,0.042424795,180,0.001243997,5.400025055,-99,69,Inf,180,155,205,162,199,Inf,50,37,1,0,1,1,SERC,2017,Spring,yes,355.4,35.57,22.57333333
S171Fg20,-0.266417137,-0.337056121,-0.140295116,-0.243674966,0.505399809,0.889082858,-0.078253382,-0.318632279,-0.282936415,-0.33026069,-0.257991983,-0.19535215,-0.401839732,-0.395100407,-0.256617889,-0.290546882,-0.170667203,-0.390090419,-0.315322552,-0.187455713,-0.233443808,-0.196556052,-0.400479087,-0.350674035,0.169597705,SERC,2017,40756,1,SERC4075612019,FAGR,75.56419311,75.69495524,162.1122993,0.019088065,1.117131419,75.60245136,75.69495524,0.959311076,0.032276133,-99,-3.095509651,0.001222809,0.092503887,156,6.24E-04,75.60245136,-99,110,Inf,188,119,329,127,291,Inf,210,164,1,1,1,0,SERC,2017,Spring,yes,280.42,35.97,23.83666667
S171Fg23,0.010736948,-0.09303414,-0.077327827,0.004521014,0.129051646,0.051035356,-0.066330288,0.041604776,-0.095765857,0.020946964,0.070331743,0.147184637,0.190259528,0.145222978,-0.0316098,0.038156445,-0.014084678,0.002210421,-0.022023224,-0.047204535,-0.042249613,-0.075655375,0.033794398,0.089370013,-0.008935881,SERC,2017,41628,1,SERC4162812019,FAGR,37.28926783,37.46646983,176.8605476,0.049317156,2.037378775,37.30226328,37.46646983,0.992944888,0.066445535,-99,-1.663361164,0.004392392,0.164206542,162,0.002184418,37.30226328,-99,111,Inf,165,122,224,130,209,Inf,102,79,1,1,0,0,SERC,2017,Spring,yes,295.28,39.2,56.38333333
S171Fg25,-0.351386936,-0.277392738,-0.123255983,-0.158442676,-0.13567405,-0.070946073,-0.096210208,-0.261496671,-0.252000843,0.372970889,0.813378689,0.070911585,0.135943981,0.404586176,-0.221236736,-0.334082061,-0.136933169,-0.165927268,-0.243565801,-0.159362747,-0.187785674,-0.146833378,-0.178961443,-0.306922307,0.017145992,SERC,2017,41489,1,SERC4148912019,FAGR,46.89238118,47.00620137,172.9108142,0.053751225,2.116605246,46.90041941,47.00620137,0.989566425,0.043352511,-99,-0.959324566,0.002252919,0.105781957,159,0.0015294,46.90041941,-99,111,Inf,162,121,215,129,201,Inf,94,72,1,1,0,0,SERC,2017,Spring,yes,304.95,36.27,57.74666667
S171Fg27,-0.040266968,-0.141972572,-0.133894359,-0.069874105,0.082634264,-0.036728459,-0.01676689,-0.028004301,-0.171151133,-0.107421427,0.047817486,0.255432405,0.096552462,0.16528072,-0.03870382,-0.092232866,-0.125473472,-0.050895548,-0.125816568,-0.129235954,-0.117816561,-0.065579928,0.040595502,0.058535495,-0.052022251,SERC,2017,30900,1,SERC3090012019,FAGR,29.99541265,30.10561243,162.6940703,0.07000752,1.311947384,30.00064596,30.10561243,0.99118885,0.044267961,-99,-0.528073022,0.0034927,0.104966463,159,0.001928426,30.00064596,-99,116,Inf,160,127,202,133,191,Inf,75,58,1,1,0,0,SERC,2017,Spring,yes,197.28,30.1,35.93666667
S171Fg28,-0.176111969,-0.196343325,-0.134135415,-0.073408319,0.045111547,-0.077745155,0.067337055,-0.086081209,-0.188453525,0.06831134,-0.138173819,-0.156075238,-0.046749614,0.111399579,-0.055200661,-0.029808118,-0.168896484,-0.08437965,-0.126943151,-0.089924506,-0.177038976,-0.103653286,-0.206699644,-0.004062835,0.234756281,SERC,2017,31048,1,SERC3104812019,FAGR,19.50099213,19.5796294,182.0645848,0.107758452,3.594729245,19.5010472,19.5796294,0.994343705,0.032350122,-99,-0.803320257,0.004021543,0.078582199,170,0.002117721,19.5010472,-99,103,Inf,170,143,198,150,191,Inf,55,41,1,0,0,0,SERC,2017,Spring,yes,391.44,31.87,36.50333333
S171Fg29,0.055938172,-0.025460271,0.029957534,0.009453121,0.10423549,0.096449444,0.016997828,0.048205296,-0.083272094,0.07690083,0.050440716,0.195342818,0.177828382,0.181849948,-0.007117371,0.039930525,-0.039598813,0.074043392,0.007284026,0.001838263,0.04080998,0.025234628,0.012988033,0.09880101,0.077891621,SERC,2017,30971,1,SERC3097112019,FAGR,53.59440137,53.7126223,176.4167463,0.064138369,6.793094728,53.6053733,53.7126223,0.970937451,0.042726526,-99,0.959081206,0.001998715,0.107249,147,0.001895059,53.6053733,-99,111,Inf,149,118,194,123,182,Inf,76,59,1,1,0,1,SERC,2017,Spring,yes,231.63,34.5,50.70333333
S171Fg36,-0.108539321,-0.097195284,-0.206332999,-0.13607825,-0.016249786,0.0836425,-0.045439439,-0.112716932,-0.0787527,-0.177020313,-0.114772716,0.234647364,0.158545237,0.138360064,-0.046928265,-0.086760175,-0.066138863,-0.043139964,-0.132674488,-0.136541116,-0.114085919,-0.136947416,-0.118833807,-0.008034155,0.034537673,SERC,2017,20948,1,SERC2094812019,FAGR,14.4956189,14.74323368,194.6617828,0.055783941,2.504856967,14.5,14.74323368,0.992084967,0.095060613,-99,-0.055645268,0.016635595,0.243233684,178,0.003452899,14.5,-99,106,Inf,179,131,231,142,218,Inf,100,76,1,0,1,1,SERC,2017,Spring,yes,344.53,34.63,48.14666667
S171Fg39,0.096466814,0.068185852,0.081529847,0.061867319,0.130801142,0.081663402,-0.063514945,0.090810696,0.071301658,0.119324822,0.078157657,0.142956454,0.103645799,0.127079814,0.098553717,0.110423205,0.166620717,0.109890477,0.081482697,0.087261831,0.132403625,0.186979309,0.123590651,0.142290903,0.110415723,SERC,2017,50913,1,SERC5091312019,FAGR,25.39273422,25.65794571,194.598238,0.054621642,3.390550846,25.4,25.65794571,0.997205457,0.098015316,-99,-0.045969971,0.010104124,0.257945706,172,0.003621185,25.4,-99,107,Inf,173,127,227,137,213,Inf,100,76,1,1,1,1,SERC,2017,Spring,yes,213.98,31.87,20.91333333
S171Fg42,0.055287481,0.029308062,0.04076406,0.008110544,0.099517324,0.033588287,-0.077710213,-0.014896232,-0.024626684,-0.02112931,-0.049691607,-0.091072173,0.00515829,0.036100779,-0.044247841,-0.016490038,0.122811823,0.015488285,-0.046402272,0.070177484,0.036993578,0.00346154,-0.021044946,0.045582622,-0.056600191,SERC,2017,70361,1,SERC7036112019,FAGR,64.49266934,64.61736567,160.0969774,0.064181692,1.049120454,64.4991948,64.61736567,0.972300987,0.044456491,-99,0.456351021,0.001830453,0.118170864,159,0.002000382,64.4991948,-99,114,Inf,161,125,206,132,195,Inf,81,63,1,1,0,1,SERC,2017,Spring,yes,278.08,35.53,27.34666667
