"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_23788",0.448385897561083,4.84650997350684,18.4538548894766,1.74068367582687e-05,0.000259626989057513
"FAGR_UCONN_15691",-0.331778508250088,4.7661608340486,18.4456401210578,1.74820334529283e-05,0.00026056898621782
"FAGR_UCONN_31357",0.478153559481,5.25037358307492,18.4262819629871,1.7660528030085e-05,0.000263048277788782
"FAGR_UCONN_09908",-0.56084477076173,2.80151701516754,18.4239887096667,1.76817942097035e-05,0.000263183899784321
"FAGR_UCONN_12052",0.365819231527423,5.25488980032961,18.3981996494724,1.79227241872138e-05,0.000266586664508371
"FAGR_UCONN_24738",0.426588010932993,4.90891276164997,18.3919046525237,1.79820331674284e-05,0.000267248108003597
"FAGR_UCONN_21552",-0.395851494559594,5.22126395976016,18.3908604306328,1.79918904611977e-05,0.000267248108003597
"FAGR_UCONN_08984",0.315469244603629,6.53621199151767,18.3742775445703,1.81491598987254e-05,0.000269399258249804
"FAGR_UCONN_24290",-0.510958454160345,5.39958736507183,18.3718565617576,1.81722353473566e-05,0.000269556900197047
"FAGR_UCONN_24183",-0.813514389293883,2.87169405626229,18.3664289159469,1.82240757785631e-05,0.000270122090687183
"FAGR_UCONN_03458",0.847601137574729,2.78769239006745,18.3652557354572,1.82353005495783e-05,0.000270122090687183
"FAGR_UCONN_09181",0.297544990089575,5.99466036734143,18.3530456649327,1.83525373015926e-05,0.000271672785417967
"FAGR_UCONN_27558",-0.492003859184032,10.6281114539415,18.3368722531503,1.85089951801211e-05,0.000273801554127259
"FAGR_UCONN_24222",-3.39883088448846,0.218652540393998,18.3304701204381,1.85712974847439e-05,0.000274535532899473
"FAGR_UCONN_11775",0.395428610392232,5.8865944855207,18.308179516155,1.87898666276362e-05,0.00027757699218792
"FAGR_UCONN_18011",0.480987914783266,4.05677940861975,18.2956818107128,1.8913540779306e-05,0.000279213403510055
"FAGR_UCONN_16193",0.485170613970181,6.66667585351208,18.2909419311318,1.89606590256001e-05,0.000279684112338627
"FAGR_UCONN_21232",0.322323805653752,5.82780566988484,18.2898759089087,1.89712723830101e-05,0.000279684112338627
"FAGR_UCONN_28977",-0.638062868537342,4.208880233766,18.2804942686983,1.90649340993633e-05,0.000280873590046576
"FAGR_UCONN_09852",-0.293128110414614,6.31079078419913,18.2646835238473,1.92238331693258e-05,0.000283021903027584
"FAGR_UCONN_16441",0.407411125470173,5.51347890859221,18.2548556722967,1.93232735795232e-05,0.000284259532409909
"FAGR_UCONN_16665",0.302177113583194,6.95823909860215,18.2537821955295,1.93341665145267e-05,0.000284259532409909
"FAGR_UCONN_24938",0.412832073598774,7.30774161407623,18.2155368273771,1.9726306819704e-05,0.000289828059872392
"FAGR_UCONN_30803",-0.484590319940676,4.06834964285696,18.2141595817083,1.97405761858048e-05,0.000289840942885473
"FAGR_UCONN_27865",-1.36992716778888,3.28149093220574,18.1990168260708,1.98981526895409e-05,0.000291956488479352
"FAGR_UCONN_28472",0.327893760507863,6.32537154116991,18.1976904776935,1.99120147998192e-05,0.000291961940581088
"FAGR_UCONN_24556",-0.621238501200898,6.03568425913954,18.1935221085562,1.99556430058993e-05,0.000292403538208309
"FAGR_UCONN_16496",-0.364025337001347,6.64492614637784,18.1839179497131,2.00565307537356e-05,0.000293682976030004
"FAGR_UCONN_32677",0.315411896367552,6.78306182877649,18.1782778846497,2.01160159690339e-05,0.000294354846248703
"FAGR_UCONN_14059",0.298178879677415,5.78339229024132,18.1735658081456,2.01658496545468e-05,0.000294884674475473
"FAGR_UCONN_32337",-0.733059807936916,2.90045291301487,18.1612053529479,2.02971607526519e-05,0.000296604424719036
"FAGR_UCONN_25744",0.436351837487391,5.14081785431534,18.1475640351051,2.04430764522424e-05,0.000298535128596107
"FAGR_UCONN_30793",0.453072228525759,10.2978244547518,18.1392460375897,2.05325674725099e-05,0.000299639801240768
"FAGR_UCONN_29212",-0.39354284261483,6.00989709961928,18.1197827293693,2.07435087299952e-05,0.000302514161680968
"FAGR_UCONN_20318",0.443796353127956,3.70699518710132,18.0738903050766,2.12495457421515e-05,0.000309685298957336
"FAGR_UCONN_25829",-1.32868767343038,0.62548221139086,18.0704734643205,2.12877142458664e-05,0.000310032780423312
"FAGR_UCONN_15510",0.380827548691326,6.67201830765461,18.0659990948153,2.13378002605036e-05,0.000310553243603106
"FAGR_UCONN_27552",0.442055539980682,3.9097572709012,18.0609672223967,2.13942684074449e-05,0.000311025362296914
"FAGR_UCONN_31028",0.321357462382989,5.9297634170254,18.0595897187701,2.14097530421501e-05,0.000311025362296914
"FAGR_UCONN_11914",-0.364862628632642,8.06413237729028,18.0592695948847,2.14133531939008e-05,0.000311025362296914
"FAGR_UCONN_15360",0.473538173632085,3.89304063788881,18.0538807477135,2.14740481931583e-05,0.000311697753854013
"FAGR_UCONN_14902",0.384116587350244,4.96069007605816,18.0461094704956,2.15618811679176e-05,0.00031259435706315
"FAGR_UCONN_24637",-0.554985936675206,5.17735390386365,18.045621500366,2.15674083598598e-05,0.00031259435706315
"FAGR_UCONN_24629",-2.45185053210378,-0.435369895400986,18.0445852812457,2.15791502380716e-05,0.00031259435706315
"FAGR_UCONN_18240",-0.398510397714779,7.28819146608586,18.0398284777132,2.16331342455576e-05,0.000313166750061778
"FAGR_UCONN_28824",0.384254376930836,4.50492341343617,18.0329421472625,2.17115263107097e-05,0.000314091478887955
"FAGR_UCONN_05566",1.50456282352554,-0.925028222358675,18.015050765714,2.19165334178644e-05,0.00031671315603744
"FAGR_UCONN_16480",-0.502341212500702,5.13820810646902,18.0145744510621,2.19220177314521e-05,0.00031671315603744
"FAGR_UCONN_23876",0.444187204355273,6.17766457182529,18.0126185987986,2.1944551982672e-05,0.000316827214148758
"FAGR_UCONN_27652",-0.645969626227791,2.91978000004734,18.0105996354324,2.19678377762733e-05,0.000316951963436071
"FAGR_UCONN_23076",0.376627982238985,6.35044177474438,17.9976180106913,2.21181559876296e-05,0.000318908149156749
"FAGR_UCONN_01702",-0.715579064466546,3.19762276086899,17.9714537124925,2.24242682075383e-05,0.000323106532987713
"FAGR_UCONN_25410",0.325025602254505,5.68621711364773,17.9556384352477,2.26113612509656e-05,0.000325492307904766
"FAGR_UCONN_18242",0.36209057964561,6.56369120071775,17.9549176226324,2.26199256579229e-05,0.000325492307904766
"FAGR_UCONN_07755",-0.432498013899783,7.14965006876657,17.9535205380981,2.26365345385587e-05,0.000325514870753148
"FAGR_UCONN_09719",0.377966668428645,5.63188931052647,17.9496548191944,2.26825550292731e-05,0.000325960063707522
"FAGR_UCONN_26745",-0.44146193321402,4.13503011503192,17.9408967532346,2.27871658171012e-05,0.000327246080035636
"FAGR_UCONN_10082",-0.86306713884516,1.7760030237793,17.9396028147929,2.28026623200961e-05,0.00032725147077687
"FAGR_UCONN_25073",-0.572366293549636,4.38331979815425,17.9347891558991,2.28604048223532e-05,0.000327862744311046
"FAGR_UCONN_17962",0.30932963197387,7.11154780207056,17.9315919971663,2.28988376801767e-05,0.000328196453691646
"FAGR_UCONN_27147",-0.294020551761759,6.03946176473013,17.9276200607052,2.29466745313029e-05,0.000328664414431804
"FAGR_UCONN_13693",-0.614220125469946,2.54441090430786,17.9170320016406,2.30746851963318e-05,0.000330279323425273
"FAGR_UCONN_14304",0.746295094544905,3.85248196494792,17.9140661881281,2.31106706375671e-05,0.000330575765986932
"FAGR_UCONN_28061",-0.620816047437206,2.78125948978609,17.9097066385148,2.31636692389078e-05,0.000331115012991046
"FAGR_UCONN_06124",-0.692015372440363,3.56066021436487,17.8940903247482,2.33545193516845e-05,0.000333622777431786
"FAGR_UCONN_14058",-0.339050130283786,6.04723756631777,17.8818274395694,2.35054933576824e-05,0.000335557973118049
"FAGR_UCONN_13155",0.341000102366544,6.5880167973245,17.880383869366,2.35233302028706e-05,0.000335591240771605
"FAGR_UCONN_03097",0.401684287772723,8.08305958584618,17.8790711745544,2.35395617491694e-05,0.000335601577981242
"FAGR_UCONN_08764",-0.595252334503346,4.64810317771648,17.8736814810504,2.36063236571543e-05,0.000336331834488567
"FAGR_UCONN_25260",0.336229198974308,5.98652110560336,17.8675732914449,2.36822155585705e-05,0.00033719112442012
"FAGR_UCONN_20062",0.289954378985279,6.40851824270338,17.8611205250943,2.3762654991924e-05,0.000338113990358461
"FAGR_UCONN_24137",0.300258158535317,6.77223168564238,17.8492996816128,2.39107250165503e-05,0.000339997313277387
"FAGR_UCONN_14480",-0.547015630473366,4.49593582159173,17.8465157825172,2.39457313010664e-05,0.000340271514653762
"FAGR_UCONN_14001",1.35767668773069,-0.0499614541156312,17.8312292417227,2.41388724553106e-05,0.000342790995851596
"FAGR_UCONN_10817",-0.583921381503979,4.7473327269416,17.8147716816849,2.43485592607817e-05,0.00034554198001432
"FAGR_UCONN_19528",0.609516492514146,6.97905818510603,17.8059441447778,2.44617845916642e-05,0.000346921325119789
"FAGR_UCONN_26127",-0.590415960051511,2.68153671218522,17.7997000843801,2.45421925860056e-05,0.00034783374718162
"FAGR_UCONN_31213",0.378942861918688,4.65557904413019,17.7968922968432,2.45784364274187e-05,0.000348119451022379
"FAGR_UCONN_19094",0.318101319477801,5.83386609103616,17.7864497465628,2.47137048888247e-05,0.000349806410205326
"FAGR_UCONN_27686",0.414726894556092,7.71515540382314,17.7774659041077,2.48306763013447e-05,0.000351232350662551
"FAGR_UCONN_26480",-0.810421921692263,2.20220142177845,17.7712488493631,2.4911949122547e-05,0.000352151798112451
"FAGR_UCONN_09308",0.418529180487498,5.49766602870739,17.7677420299559,2.49579100806684e-05,0.000352571207549494
"FAGR_UCONN_28691",-0.93903310764092,6.70592848782328,17.7565310256664,2.51054157389956e-05,0.000354423618671456
"FAGR_UCONN_08486",0.352969678407908,5.34610789916602,17.7428271736169,2.52869107047757e-05,0.000356753143072201
"FAGR_UCONN_26150",0.425720087476634,4.17213642363575,17.7399794518985,2.53247913083336e-05,0.000357041125902467
"FAGR_UCONN_06554",-0.506773932228523,3.74834294440168,17.7388134248824,2.53403183340814e-05,0.000357041125902467
