"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_15659",-0.816038644729417,2.17887638907781,15.1560337698607,9.89814918613119e-05,0.00037254912119348
"FAGR_UCONN_16661",-0.494386701695336,7.2468836581293,15.1312502533029,0.000100289350871372,0.000377406039220697
"FAGR_UCONN_12596",0.901281587102212,4.00798031954355,15.1282403468626,0.000100449367402805,0.000377942491191154
"FAGR_UCONN_16826",0.480456475408625,6.66177867908984,15.1261050270932,0.000100563043803873,0.000378257263748768
"FAGR_UCONN_04926",-0.619096517828796,4.09441645622369,15.1259833983557,0.000100569522756656,0.000378257263748768
"FAGR_UCONN_19896",-0.721077979652539,3.80566055983913,15.1256842197239,0.00010058546127318,0.000378257263748768
"FAGR_UCONN_21083",-0.64945312143632,7.03856635171163,15.1249577040489,0.000100624176431757,0.000378337113678957
"FAGR_UCONN_19175",-0.868902283552248,3.68189172687365,15.1229466887686,0.000100731419274504,0.000378674548538964
"FAGR_UCONN_01562",-1.81665610226488,-0.324083839682067,15.1144770787146,0.000101184348021076,0.000380311160102837
"FAGR_UCONN_18844",0.524350913988482,4.86756685376333,15.1137579273547,0.000101222900300602,0.000380389999705788
"FAGR_UCONN_15698",-1.16045458169112,1.9489614959761,15.1133355378261,0.000101245550656964,0.000380409063770489
"FAGR_UCONN_14311",2.86756507268885,0.0434585656812666,15.1023186234089,0.000101838130262428,0.000382569139930474
"FAGR_UCONN_07878",-1.58369840015229,2.62238060843476,15.09236472554,0.000102376533208305,0.000384461261635588
"FAGR_UCONN_32076",-0.78431702562182,3.2032084730054,15.0923499698183,0.000102377333462984,0.000384461261635588
"FAGR_UCONN_00889",-2.0835715285146,0.460514873043186,15.0884858710701,0.000102587113959825,0.000385182220735345
"FAGR_UCONN_32571",-0.687582116034579,7.38560404580322,15.0873427303371,0.000102649257530885,0.000385296604788873
"FAGR_UCONN_16938",-2.69385582858469,2.3276011732432,15.0872705129,0.000102653184697008,0.000385296604788873
"FAGR_UCONN_24432",0.568431340791486,6.46190394180774,15.0807716902125,0.000103007208809216,0.000386558351491079
"FAGR_UCONN_00390",-1.7417236933,3.53901548580073,15.0740229462951,0.000103376148035659,0.000387875623402865
"FAGR_UCONN_11769",1.81687495550527,0.620176483547381,15.0673886658559,0.00010374012603935,0.00038917382696197
"FAGR_UCONN_30042",-0.645090000597777,2.58777202939002,15.0660850593195,0.000103811797567173,0.000389375203284013
