sample,MEcyan,MElightgreen,MEbrown,MEskyblue,MEsaddlebrown,MEdarkorange,MEdarkred,MEsalmon,MEmidnightblue,MEorange,MEgrey60,MElightyellow,MEdarkgreen,MEturquoise,MEgreen,MEyellow,MEdarkgrey,MEblack,MEblue,MEred,MEroyalblue,MEpurple,MEgreenyellow,MEtan,MEwhite,MEdarkturquoise,MElightcyan,MEmagenta,MEpink,MEgrey
S191Fg29,0.13301700497920507,0.09424821837144179,-0.01252500114167793,-0.0017808132095963596,-0.07870549291989927,-0.0033241257403774337,-0.027327702971343643,0.07290659513349922,0.021233709222584152,0.013306315535069254,0.07929362571772272,-0.06852800559761608,-0.017154492972642123,0.008300117079952908,-0.09383551059147655,-0.05211971475815813,-0.14320831684532254,-0.18232097072667994,-0.23296264524069918,-0.06028585722149698,-0.050175881078180246,-0.03095002425825817,0.10407428536861792,0.2023895423677079,-0.04099559630091441,-0.02319054371703427,0.05199291489872743,-0.026306179375669585,0.019009078285850488,-0.006532835817314148
S191Fg36,0.06331257162388647,0.008304265549158899,-0.12995936779298498,0.06715443375569183,-0.10423248372130643,-0.09487560888287713,0.05112886570944357,0.18875648749766155,0.005399450519791436,0.004540819236912338,0.08383755680178742,0.040642508521275274,0.14005687220915883,0.05233855973573577,-0.1329215833460417,0.028239490824766275,0.071580284344675,-0.10528160710799941,-0.006560729117000796,-0.05555049380385574,-0.08335601965288995,0.07261668722676465,0.1614711642352161,0.22977053537348147,0.038768863361008724,0.12458879755701323,0.05185508047792715,0.02863483419548423,0.06642445062172912,-0.15126783695587778
S191Fg39,0.19795428528851167,0.3186782854125179,0.12247623142635816,-0.1484526439755241,-0.12507644482900723,0.02804980474062181,-0.12759082297202898,-0.08347984993966434,-0.20043667807665594,-0.1620036274888644,-0.12919299090622755,-0.1478636928460025,-0.10806802764075649,-0.11832535977283853,-0.17066485817260602,-0.171032325986319,-0.47056634021698424,-0.13278914779479473,-0.25645881145620875,-0.13891359783482282,-0.2309020214075103,-0.13312770299468457,-0.09359334500087009,0.039002519808844324,-0.006258454158786918,-0.14644216788245654,-0.04632115983622076,-0.1280923689157869,-0.0989072443385008,-0.1403075854391459
S191Fg42,0.0363451634892629,0.22082505296540772,0.04501376181462972,0.07840497956626778,-0.006799264042939233,-0.0997337865633059,-0.04323159279748967,-0.08461421074166157,0.005495995514684014,-0.025273245667092648,0.07567001347839208,0.01423026196773618,0.05296121296526471,0.013056066484230834,-0.021440054534806213,-0.02220062697283177,-0.7315028562213564,-0.04285971115114463,-0.05731602079262909,-0.027640547119885908,-0.054889216617281,-0.012997046821641364,0.16324977814688915,0.2123585443163157,0.013610445849874982,-0.004114938321292532,-0.03347807848818903,-0.017433982694320845,-0.18112704931256501,0.07771941998904386
S191Fg45,-0.20290021111871512,-0.12965580802503818,-0.233166146910428,0.09197613590025785,0.06916740473917933,-0.16076531089154383,0.1599780165148806,0.10539455696265264,0.03575612102410052,0.08229698125734979,-0.019563333394707963,0.06788032018199282,0.08198675108606418,0.03944745859626762,0.00590199397092879,0.01282840330549289,0.0683954481652459,0.0480506654690963,0.3752583820081822,0.038127034064196624,0.21051394949891217,0.1082917818886735,0.32354560278250855,0.1490246352866427,0.04971905040435009,0.07577209115453624,0.04287148838875593,0.014334432164778123,0.13444319283047682,0.05692565277260411
S192Fg02,0.04370902443741572,0.03455485850687841,0.29377721852297967,-0.03230865214819954,-0.04890283255221762,0.4239777617834908,0.2580550740563484,0.022340496918280116,0.010978447946315228,-0.06718387655458831,-0.027750929409718256,-0.02626581275940389,-0.07914429909265316,-0.060731154500643404,-0.12389549245660697,-0.062085808898612885,-0.017556821196850262,0.03726691775374845,-0.13289660753003565,-0.05460241590324555,-0.013159050723586795,-0.0534383795237081,-0.3745288618656348,-0.46374022371282636,-0.03715822790408315,0.011294607850529733,-0.05211606521661111,-0.07415424344034893,-0.04822331665254653,-0.05849708318082291
S192Fg03,0.2250244781085001,-0.08522282577971935,-0.05106160716062298,-0.003411182200576977,-0.03290657195541923,0.3075358024362834,0.2580597761927759,0.11867683456425097,-0.006874771955715899,0.002336950031562486,-0.0030592626211928832,0.014626029379691327,-0.028489173329759657,-0.01380607921369227,-0.07491440970752695,-0.04555470666388087,-0.035496865109705025,-0.23029991933176586,-0.1504557554621464,-0.06543831524362623,0.024940494443812154,-0.04066809878612405,-0.23880980751844794,-0.16783312819747664,0.035502906572408406,-0.042652985056524255,-0.17739512284192174,-0.013399010127175292,0.09269692555028412,-5.52150159807121e-4
S192Fg04,-0.19689597910459727,-0.04375601093925909,0.06563138405253871,0.026368780094431183,-0.05256565294582688,-0.029203374805388198,-0.07584308560389307,-0.13276359179581818,-0.045773759621272406,-0.09966454479192777,0.04590601253925739,-0.03644579677025071,-0.05834648285420705,-0.1118735669056564,-0.14051430019183658,-0.09811453321640838,-0.06210899633854732,0.018439553240024095,-0.057642186107456465,-0.09904887957595229,-0.03209070972470538,-0.09245367801362896,-0.11276209020697515,-0.2232703542065035,-0.08551603872725551,-0.04438621818464943,-0.2871033395411553,-0.11778796884394722,-0.16341729495475887,-0.5422282240075746
S192Fg05,-0.053395028471855586,-0.074931774397295,0.014428964016759782,0.018894970343559733,-0.006328665200188281,-0.012958486352552102,-0.016666728240407425,-0.04384653651299728,0.003602641887119336,-0.013893500405488863,0.03105499841658965,0.01441118849832209,-0.004577150250436578,-0.03219358878336644,-0.024839778706923176,-0.02832896994214801,0.007845808221985722,0.0073936400078871405,-0.012621692618185833,-0.030451527862576433,0.07289457914986744,-0.04603824730643599,-0.06883094047269583,-0.15188078242558908,0.018486697637287948,0.005377357816896269,0.03195903862418094,-0.014791477096359815,0.01746359313653677,-0.00873878241188312
S192Fg06,-0.08178455888860969,-0.2720021399417642,-0.17314512487754571,-0.017918524427992216,0.0990402521039753,0.03200638417892542,0.0710863025478824,0.08485810725945638,0.06727998183500761,-0.05077069913906202,0.07129421099155539,0.10634971891621883,-0.011072312816226525,-0.027372573655504155,-0.02753294683556435,-0.0034466934191542654,-8.093715260840893e-4,-0.10568398048540274,0.07653226367671023,-0.015497090910874768,0.15280390783162454,-0.1027945580735566,-0.05399215741940999,-0.19776256444047327,0.07993389640128924,0.10277580526278993,0.31105346316276156,0.024842436452523993,0.09729964597526634,-0.04147202304879898
